StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
1,0,201001,6.21,40,5.04,5.04,1.28,5.04,2,809,0.69,1.97,1.75,3.09,2.93,2.28,1.73,29.2,50.8
1,0,201002,4.22,40.6,-0.16,4.36,-0.48,4.12,0,708,-0.4,0.16,1.53,2.52,2.28,2.56,1.71,30.3,50.8
1,0,201003,5.07,51.2,-0.37,3.68,-0.69,3.14,9,456,-0.29,-0.54,-0.17,1.67,2.28,2.07,1.73,39.7,62.6
1,0,201004,2.82,64.2,-0.96,2.68,-1.89,1.38,58,97,-0.83,-0.81,-0.9,0.58,1.9,1.94,1.58,49.7,78.6
1,0,201005,6.15,73.3,-0.35,2.91,1.54,2.16,249,11,1.08,0.14,-0.13,0.79,1.87,1.67,1.77,62.3,84.3
1,0,201006,3.26,80.9,-0.78,2.15,-1.4,0.87,463,0,-0.49,0.39,-0.18,-0.28,1.17,1.77,1.87,70.1,91.6
1,0,201007,3.5,82.6,-1.61,1.02,-2.73,-1.15,537,0,-1.22,-1.22,-0.21,-0.82,0.32,1.47,1.8,71.9,93.3
1,0,201008,4.84,83,-1.71,0.65,-0.78,-1.62,552,0,0.37,-0.56,-0.79,-0.64,0.31,1.36,1.33,72.6,93.3
1,0,201009,1.61,76.9,-2.5,-2.5,-2.92,-2.5,337,1,-1.24,-0.7,-1.24,-0.97,-0.82,0.62,1.25,63.1,90.6
1,0,201010,2.59,64.3,-2.47,-2.47,-0.66,-2.47,75,117,0.02,-0.87,-0.63,-0.67,-1.07,0.05,1.21,48.4,80.1
1,0,201011,4.73,55.2,-2.09,-2.09,0.35,-1.88,12,324,0.61,0.34,-0.29,-0.9,-0.78,0.11,1.32,42.3,68.1
1,0,201012,2.2,40.3,-2.66,-2.66,-2.34,-2.66,0,788,-1.71,-0.66,-0.62,-1.35,-1.18,-1.05,1.03,28.9,51.8
1,0,201101,4.03,41.1,-2.65,-2.65,-0.78,-2.65,3,771,-0.45,-1.45,-0.82,-1.07,-1.07,-1.41,0.99,30.2,52
1,0,201102,3.49,49.5,-2.91,-2.91,-1.6,-2.91,6,460,-0.83,-1.01,-1.72,-1.63,-1.92,-1.57,0.99,37.2,61.8
1,0,201103,8.17,57.8,-2.2,-2.2,1.21,-1.64,35,289,0.87,0.2,-0.12,-0.53,-1.1,-1.03,0.88,45.6,70
1,0,201104,5.08,65.7,-2.06,-2.06,-0.25,-1.55,80,78,0.27,0.73,0.23,-0.38,-0.69,-0.73,0.93,52.6,78.8
1,0,201105,1.64,69.9,-2.64,-2.64,-2.39,-2.64,166,29,-1.51,-0.67,0.08,-0.98,-1.05,-1.35,0.27,56.8,83
1,0,201106,3.55,81.3,-2.99,-2.99,-1.86,-2.99,470,0,-0.29,-1.24,-0.76,-0.59,-0.84,-1.25,0.3,68.5,94
1,0,201107,5.52,81.7,-3.03,-3.03,-1.04,-3.03,510,0,0.25,-0.09,-0.96,-0.39,-0.79,-0.99,0.29,71.4,91.9
1,0,201108,2.05,81.8,-3.87,-3.87,-3.47,-3.87,506,0,-1.78,-0.91,-0.98,-0.56,-1.3,-1.35,-0.04,69.4,94.2
1,0,201109,7.21,72.1,-2.45,-2.45,3.08,-1.19,208,14,1.62,0.52,0.45,-0.36,-0.35,-0.61,-0.05,60.9,83.4
1,0,201110,0.79,60.6,-2.6,-2.6,-1.22,-1.8,36,186,-1.36,0.58,-0.29,-0.95,-0.53,-0.87,-0.58,46.6,74.6
1,0,201111,4.13,55.3,-2.32,-2.32,0.05,-1.46,11,319,0.35,-0.53,0.53,-0.27,-0.19,-0.95,-0.6,43.1,67.5
1,0,201112,5.04,49.3,-2.13,-2.13,-0.15,-1.3,6,514,0.07,0.17,-0.48,-0.14,-0.6,-0.54,-1.22,38.4,60.2
1,0,201201,5.44,50.1,-1.91,-1.91,0.01,-1.04,23,509,0.32,0.17,0.21,-0.09,-0.62,-0.32,-1.26,38,62.3
1,0,201202,4.49,52.1,-2.02,-2.02,-0.92,-1.44,14,398,-0.25,-0.02,-0.08,0.31,-0.3,-0.24,-1.26,41.9,62.3
1,0,201203,5.35,64.6,-2.42,-2.42,-1.82,-2.38,111,140,-0.17,-0.36,-0.23,-0.52,-0.28,-0.61,-1.19,52.8,76.3
1,0,201204,1.89,65,-3.08,-3.08,-2.74,-3.08,72,84,-1.45,-1.04,-1.01,-0.62,-0.75,-1.11,-1.27,52.4,77.6
1,0,201205,4.16,73.4,-3.05,-3.05,-0.87,-3.05,260,8,0.11,-0.96,-0.84,-0.67,-0.34,-0.73,-1.45,61.4,85.3
1,0,201206,4,76.8,-2.8,-2.8,-0.2,-2.8,350,0,-0.01,-0.05,-0.83,-0.7,-0.87,-0.66,-1.31,65.3,88.4
1,0,201207,5.75,81.6,-2.64,-2.64,-0.37,-2.64,512,0,0.37,0.16,0.1,-0.71,-0.53,-0.63,-1.12,70.9,92.3
1,0,201208,6.07,78.1,0.64,-1.73,1.92,-0.85,398,0,1.06,0.82,0.59,-0.32,-0.36,-0.1,-1,68.3,87.9
1,0,201209,5.35,73,1.16,-0.97,1.75,0.65,234,10,0.89,1.33,1.15,0.09,-0.09,-0.33,-0.67,61.9,84.1
1,0,201210,2.91,62.2,1.29,-0.62,0.75,1.21,51,157,0.2,0.66,1.05,0.74,-0.15,-0.04,-0.64,50,74.4
1,0,201211,1.36,51.2,0.52,-1.18,-1.89,-0.12,2,431,-1.79,-0.82,-0.1,0.21,-0.4,-0.4,-0.91,37,65.5
1,0,201212,6.61,50.9,0.82,-0.71,1.06,0.67,11,465,0.74,-0.25,-0.2,0.56,-0.09,-0.18,-0.56,40.1,61.8
1,0,201301,6.27,50.1,1,1,0.77,1,22,524,0.71,0.91,0.11,0.7,0.6,-0.03,-0.34,40.3,59.9
1,0,201302,8.86,48,1.98,1.98,3.27,1.98,4,505,1.69,1.67,1.7,1.1,1.24,0.51,0.14,37.2,58.9
1,0,201303,3.83,49.8,1.25,1.25,-1.58,0.45,4,497,-0.87,0.5,0.71,0.34,0.85,0.29,-0.26,37.2,62.3
1,0,201304,5.71,62.2,1.36,1.36,0.69,0.83,35,140,0.52,-0.28,0.6,0.46,0.89,0.8,-0.22,50,74.3
1,0,201305,4,68.2,1.3,1.3,0.25,0.84,128,45,0.02,0.37,-0.25,0.82,0.56,0.75,-0.01,56.8,79.6
1,0,201306,5.81,78,1.73,1.73,1.69,1.73,377,0,0.89,0.53,0.65,0.84,0.54,0.95,0.17,68.2,87.7
1,0,201307,8.7,77.7,2.87,2.87,3.94,2.87,382,0,1.6,1.55,1.32,1.17,1,1.33,0.46,69.2,86.1
1,0,201308,5.5,77.9,3.3,3.3,2.17,3.3,386,0,0.75,1.65,1.68,0.83,1.57,1.25,0.78,68.7,87.1
1,0,201309,3.2,75,2.97,2.97,0.03,2.92,289,4,-0.16,0.29,1.21,1.22,1.28,0.98,0.39,63.8,86.1
1,0,201310,1.47,64.9,2.4,2.4,-0.79,1.98,86,106,-0.73,-0.66,-0.25,0.83,0.92,0.83,0.48,53.5,76.3
1,0,201311,3.42,51.6,2.11,2.11,-0.14,1.57,3,431,-0.01,-0.54,-0.54,0.76,0.35,1.07,0.4,40,63.3
1,0,201312,7.93,47.9,2.72,2.72,2.5,2.72,4,564,1.23,0.82,0.34,1,1.1,1.22,0.78,37.7,58.2
1,0,201401,2.7,37.3,1.83,1.83,-1.85,0.99,1,887,-1.37,0.22,0.06,-0.18,0.64,0.81,0.51,24.7,49.8
1,0,201402,5.75,47.3,1.82,1.82,0.55,1.17,3,531,0.38,-0.6,0.32,-0.24,0.8,0.43,0.62,35.9,58.7
1,0,201403,5.57,52.3,1.51,1.51,-0.37,0.67,11,429,-0.08,0.1,-0.56,-0.22,0.41,0.64,0.64,39.6,65
1,0,201404,9.67,62.4,2.65,2.65,3.88,2.65,38,132,1.8,1.2,1.14,0.84,0.62,1.15,1.37,50.1,74.8
